lid	Entrez_id	Name	xref	transcript_length	transcript_type	iPSC_parent	iPSC_KO1	iPSC_KO2	iMeLC_parent	iMeLC_KO1	iMeLC_KO2	d6hPGCLC_parent	d6hPGCLC_KO1	d6hPGCLC_KO2	c12_parent	c12_KO1	c12_KO2	c32_parent	c32_KO1	c32_KO2	c42_parent	c42_KO1	diff_iPSC	diff_iMeLC	diff_d6	diff_c12	diff_c32	diff_c42
gene253	8863	PER3	Name=PER3;description=period circadian regulator 3;gbkey=Gene;gene=PER3;gene_biotype=protein_coding;gene_synonym=FASPS3,GIG13;chr1:7784285-7845181	6680	protein_coding	3.53742650478132	2.6514556537038	3.21426942874475	2.43838045726048	1.726326851349	2.23575316972588	2.59965936702374	2.79963909255245	1.86867029709934	3.23426404101876	1.99471492231564	1.91661363588996	2.66851473642351	2.61480832973157	2.20072065739527	3.1138671594827	2.57410150808939	0	0	0	-1	0	0
gene257	54206	ERRFI1	Name=ERRFI1;description=ERBB receptor feedback inhibitor 1;gbkey=Gene;gene=ERRFI1;gene_biotype=protein_coding;gene_synonym=GENE-33,MIG-6,MIG6,RALT;chr1:8011719-8026333	6658	protein_coding	6.05031674467614	6.19127205624996	6.34094863618401	5.95199320693152	5.60802386268445	5.90443191834723	5.4754137697681	5.84411832963808	6.61022128471335	6.03384460807959	7.36468332629195	7.62197900392806	3.17149753812926	4.9187071852957	5.17680503496907	2.9585643149425	6.05860656417056	0	0	0	1	1	1
gene283	107984916	LOC107984916	Name=LOC107984916;gbkey=Gene;gene=LOC107984916;gene_biotype=lncRNA;chr1:9100305-9102986	2560	lncRNA	1.97971178503796	1.63455845955454	1.90164189203982	1.82750005582603	1.64980635675795	1.3513064328457	1.99785050093218	3.17799715213098	3.74821243044157	3.43785081794595	3.94006752121946	4.02368672104262	0.676076255525621	1.5421851286082	1.89914808602991	1.12300395405482	1.66348125331005	0	0	1	0	0	0
gene288	9563	H6PD	Name=H6PD;description=hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase;gbkey=Gene;gene=H6PD;gene_biotype=protein_coding;gene_synonym=CORTRD1,G6PDH,GDH;chr1:9234767-9271337	9140	protein_coding	2.91877596786713	2.98310586151922	2.17978400719275	1.41605645808226	1.27348875120936	1.54495580609409	2.82116573336674	2.35102105246049	2.69778394991455	3.44061280671177	3.00200823215651	3.2710116517063	3.21514922879219	3.13280709336351	3.10633397022898	2.51399597936701	3.52723301748801	0	0	0	0	0	1
gene289	80176	SPSB1	Name=SPSB1;description=splA/ryanodine receptor domain and SOCS box containing 1;gbkey=Gene;gene=SPSB1;gene_biotype=protein_coding;gene_synonym=SSB-1,SSB1;chr1:9292882-9369532	3118	protein_coding	0.887892205762439	0.700669747782326	1.77926369442729	0.657027318664566	0.42146930836596	1.22915423814254	2.63780781158057	2.12967860967014	1.40303863523196	2.15164770045613	2.15177532441169	3.06685042878743	1.62416607391968	2.48506881679066	2.9478059518706	0.372394965238024	2.3293819662963	0	0	0	0	0	1
gene309	116362	RBP7	Name=RBP7;description=retinol binding protein 7;gbkey=Gene;gene=RBP7;gene_biotype=protein_coding;gene_synonym=CRABP4,CRBP4,CRBPIV;chr1:9997197-10016020	870	protein_coding	2.91894941432384	3.50503928618256	3.32625983266843	2.84575335537042	3.5436042428482	3.06162093035828	3.58730674682402	4.28643863851316	4.18853147570445	3.33895714279585	4.52551898229776	3.14607014861748	1.78143934826057	2.896097684149	2.89169481792362	1.30597052098439	2.23762490001616	0	0	0	0	1	0
gene356	374946	DRAXIN	Name=DRAXIN;description=dorsal inhibitory axon guidance protein;gbkey=Gene;gene=DRAXIN;gene_biotype=protein_coding;gene_synonym=AGPA3119,C1orf187,neucrin,UNQ3119;chr1:11686635-11721766	3570	protein_coding	3.5572970625672	3.69523724775586	4.12245649386928	5.12239549388259	5.19301317645242	5.25618722555868	1.65031116011154	0.178916739314745	0.643742790663831	1.81439682991808	0.944976791111352	1.19290481952335	0.269765535737075	0.8859010195978	0.424439142120977	0	0.947927931238094	0	0	-1	0	0	0
gene365	4879	NPPB	Name=NPPB;description=natriuretic peptide B;gbkey=Gene;gene=NPPB;gene_biotype=protein_coding;gene_synonym=BNP;chr1:11857464-11858935	698	protein_coding	0.817723798678478	0.360358121260566	0	1.36687063905276	1.52602612128353	1.51321109153797	0	0	0	0.880536235394321	3.48656958402384	4.96843335930226	0	2.55633716998341	2.42947187344233	0	0.947927931238094	0	0	0	1	1	0
gene386	9249	DHRS3	Name=DHRS3;description=dehydrogenase/reductase 3;gbkey=Gene;gene=DHRS3;gene_biotype=protein_coding;gene_synonym=DD83.1,RDH17,retSDR1,Rsdr1,SDR1,SDR16C1;chr1:12567910-12617731	1722	protein_coding	4.10469769746523	4.27328004188945	4.16905858597734	2.40318600755864	2.18744795175722	2.25870696665551	3.92449747340145	3.41486932762449	3.98007131310704	4.0130146230468	3.98309396877046	4.37061217990337	1.13506345109648	2.94986284592374	3.58956249446154	0.913416033285306	3.0759604132434	0	0	0	0	1	1
gene439	23254	KAZN	Name=KAZN;description=kazrin%2C periplakin interacting protein;gbkey=Gene;gene=KAZN;gene_biotype=protein_coding;gene_synonym=KAZ;chr1:13893386-15118048	8988	protein_coding	3.43756718711809	3.07366181214728	2.74499173883806	4.03652072153198	3.66294680448229	3.78761147831129	5.73259351604768	5.86465053730073	6.07023307316998	4.99884938695101	5.12915019273186	5.14502960762833	4.9431438991582	5.24333201100836	5.26715770685482	4.90018574348003	6.01090512940802	0	0	0	0	0	1
gene463	79814	AGMAT	Name=AGMAT;description=agmatinase;gbkey=Gene;gene=AGMAT;gene_biotype=protein_coding;chr1:15571699-15585110	3154	protein_coding	2.48323933046632	2.87951092742914	2.62159711967024	2.86741093269518	2.64371107098867	2.4695138860641	0.211923527299217	0.441575785431239	0.385020708815348	1.93561292678392	0.779599052465114	0.555248440958701	1.33469594223634	0.969807229094739	1.24551099387466	1.46832264394787	1.34959174255675	0	0	0	-1	0	0
gene486	1969	EPHA2	Name=EPHA2;description=EPH receptor A2;gbkey=Gene;gene=EPHA2;gene_biotype=protein_coding;gene_synonym=ARCC2,CTPA,CTPP1,CTRCT6,ECK;chr1:16124337-16156109	3986	protein_coding	2.82079689245659	3.02171043684354	2.78756367080073	5.71903375988276	5.78133748607333	5.64444840556544	1.84378031945435	1.12161849379465	1.02917880547382	1.07193564674985	1.84693871879926	2.08800013116768	0.162174894451094	2.45758136856488	3.45953258579668	0.913416033285306	3.70903692850884	0	0	0	0	1	1
gene488	128272	ARHGEF19	Name=ARHGEF19;description=Rho guanine nucleotide exchange factor 19;gbkey=Gene;gene=ARHGEF19;gene_biotype=protein_coding;gene_synonym=WGEF;chr1:16197854-16212700	3442	protein_coding	4.75266079023302	4.75691211020218	4.66439848417761	2.92156989267549	3.24849879805609	3.04220511150101	2.60067027043033	2.61836657400975	3.43336642531954	2.75710550564102	3.24416009678702	3.34742026561524	0.564311690705044	1.99542783244882	1.79035849362631	0.668119124686432	1.34959174255675	0	0	0	0	1	0
gene524	11223	MST1L	Name=MST1L;description=macrophage stimulating 1 like;gbkey=Gene;gene=MST1L;gene_biotype=protein_coding;gene_synonym=BRF-1,D1F15S1A,MSPL-7,MSPL7,MST1P9,MSTP7,MSTP9;chr1:16754634-16764480	4668	protein_coding	4.29275215365626	3.51478346464096	2.67261070197082	2.63372278831022	2.05726549487685	1.8773541808755	4.29818883611601	3.60390745155766	2.89998634992125	2.89474393462109	2.24333245500375	2.66446944970347	2.8843170508979	3.15849664631441	3.54149359190702	1.46832264394787	3.127979881061	0	0	0	0	0	1
gene539	4237	MFAP2	Name=MFAP2;description=microfibril associated protein 2;gbkey=Gene;gene=MFAP2;gene_biotype=protein_coding;gene_synonym=MAGP,MAGP-1,MAGP1;chr1:16974502-16981586	1103	protein_coding	6.95633951622591	6.87912907764941	6.9939028761131	6.43008140357276	6.55346060327659	6.47865401802543	5.46826874021795	6.16875261375396	6.36894280685472	5.92222367758865	6.28089091286449	6.40245437739941	5.24868587222134	6.51741055772169	6.76604210512401	4.66921956564273	6.24096873697471	0	0	0	0	1	1
gene541	23400	ATP13A2	Name=ATP13A2;description=ATPase 13A2;gbkey=Gene;gene=ATP13A2;gene_biotype=protein_coding;gene_synonym=CLN12,HSA9947,KRPPD,PARK9,SPG78;chr1:16985958-17011972	4040	protein_coding	3.97617566472151	4.12927318525869	3.91620187994125	3.75744806881183	3.51116086353197	3.53778326854865	5.13920118819447	5.75565767908728	5.45674207068673	5.45546188936043	5.75535838031493	5.74894070598806	4.64111089051507	5.15325036715761	4.92549282214595	4.12861510065349	5.24232049359982	0	0	0	0	0	1
gene567	126917	IFFO2	Name=IFFO2;description=intermediate filament family orphan 2;gbkey=Gene;gene=IFFO2;gene_biotype=protein_coding;chr1:18904280-18956672	6034	protein_coding	1.30511808315052	1.43353054079616	1.51097282932635	2.71470011768681	1.3153703433585	1.7505454090287	1.38000154419532	2.08629099783016	0.791512782987319	4.37352779415046	5.22847032210878	4.84165673500277	1.28422287187239	1.35878565796132	2.14549859317629	0.913416033285306	1.92113161118517	0	0	0	0	0	1
gene576	8574	AKR7A2	Name=AKR7A2;description=aldo-keto reductase family 7 member A2;gbkey=Gene;gene=AKR7A2;gene_biotype=protein_coding;gene_synonym=AFAR,AFAR1,AFB1-AR1,AKR7;chr1:19302708-19312146	2619	protein_coding	4.95969336078352	5.40465575108133	5.37628376136014	4.6589147182791	4.63514462206351	4.93077794687002	5.04351870962958	5.24335828869499	5.33194035356399	5.70569981776326	5.71824768465364	5.93082588640687	4.8301732786468	5.13654196474819	5.60855258520736	4.05384119026775	5.09323901570177	0	0	0	0	0	1
gene591	255104	TMCO4	Name=TMCO4;description=transmembrane and coiled-coil domains 4;gbkey=Gene;gene=TMCO4;gene_biotype=protein_coding;chr1:19682213-19800385	3604	protein_coding	2.8201802595086	3.92529595558658	3.6045495657716	1.12366311996007	1.39811867336843	1.72622689425761	0.954148797466626	2.00987793386887	2.14571140601337	1.67598049271953	2.5543729665962	2.22681374030215	0.406310719788546	1.24690995712193	1.47385745981265	1.12300395405482	0.947927931238094	0	0	1	0	0	0
gene597	5320	PLA2G2A	Name=PLA2G2A;description=phospholipase A2 group IIA;gbkey=Gene;gene=PLA2G2A;gene_biotype=protein_coding;gene_synonym=MOM1,PLA2,PLA2B,PLA2L,PLA2S,PLAS1,sPLA2;chr1:19975431-19980439	969	protein_coding	1.17804029474628	1.54357363363423	1.71577046684182	1.55329802874301	1.42498582695135	1.14225706662212	3.43465833580756	5.55752827256545	6.19287021898636	3.01744263157055	2.16035291115915	2.86567433513111	1.99223661872365	1.30560111975415	0.846346741438277	2.35698889179248	0.947927931238094	0	0	1	0	0	-1
gene611	55450	CAMK2N1	Name=CAMK2N1;description=calcium/calmodulin dependent protein kinase II inhibitor 1;gbkey=Gene;gene=CAMK2N1;gene_biotype=protein_coding;gene_synonym=PRO1489;chr1:20482391-20486235	2351	protein_coding	4.2230116250799	4.33574102280118	4.49160907605016	0.911853141292203	1.74510047419046	1.72165734417504	3.90251388579997	5.01784382684919	5.79871552196017	4.38740232541067	5.25593822078626	5.20276706611101	3.37020895596596	3.60224635909663	3.38543630797692	3.53630161932382	3.48794933693895	0	0	1	0	0	0
gene615	978	CDA	Name=CDA;description=cytidine deaminase;gbkey=Gene;gene=CDA;gene_biotype=protein_coding;gene_synonym=CDD;chr1:20588951-20618908	960	protein_coding	3.11465848142986	2.40427164575789	2.2684438138971	2.92926187217124	2.99540435263213	3.13626947739791	3.01405825195741	1.92264486336706	1.24829586690703	0.95053248075703	0	0.217013837331799	0.812067864750476	0	0.866014927552216	0	0.947927931238094	0	0	-1	0	0	0
gene620	57576	KIF17	Name=KIF17;description=kinesin family member 17;gbkey=Gene;gene=KIF17;gene_biotype=protein_coding;gene_synonym=KIF17B,KIF3X,KLP-2,OSM-3;chr1:20664014-20718017	4098	protein_coding	2.29375695215311	3.00860339762555	2.34962027781252	1.65204100128997	1.20511733807374	1.73902553592586	0.708441348961706	0.992849464650171	0.371994411595426	0.901644091129804	1.05478793048786	0.41301489324987	0.664676630401439	1.67259926460835	1.8422513735636	0	1.16266121085665	0	0	0	0	1	1
gene621	400745	SH2D5	Name=SH2D5;description=SH2 domain containing 5;gbkey=Gene;gene=SH2D5;gene_biotype=protein_coding;chr1:20719731-20732640	4354	protein_coding	3.04070687792576	3.28993610410599	3.34290117684993	2.3964631975084	2.25488299571629	3.04769260122809	2.56252182587351	2.14788929096034	2.11679590401595	2.19647023154881	3.32590065382225	3.21230510595323	1.48227704923875	2.76297420759153	2.59230775969338	1.46832264394787	2.3293819662963	0	0	0	1	1	0
gene643	5909	RAP1GAP	Name=RAP1GAP;description=RAP1 GTPase activating protein;gbkey=Gene;gene=RAP1GAP;gene_biotype=protein_coding;gene_synonym=RAP1GA1,RAP1GAP1,RAP1GAPII,RAPGAP;chr1:21596221-21669444	3992	protein_coding	2.7567520188565	3.52097936730904	2.50025300726525	2.22290191122411	2.27634205949215	2.25650689328099	1.18058412656196	1.18415781607418	1.12847209013391	0.662732819907719	0.932567338908625	0.555248440958701	1.00340527596707	1.22108163854031	1.23769590351067	0	1.16266121085665	0	0	0	0	0	1
gene646	3339	HSPG2	Name=HSPG2;description=heparan sulfate proteoglycan 2;gbkey=Gene;gene=HSPG2;gene_biotype=protein_coding;gene_synonym=HSPG,PLC,PRCAN,SJA,SJS,SJS1;chr1:21822232-21937297	14812	protein_coding	2.63498485765171	2.56367939229828	2.64366707471036	1.67149991365503	2.05020541313647	1.94319766731072	3.12531829800875	3.00836025160281	3.34922842277377	2.5252986249869	2.60528940190058	2.88420862294863	0.877411630631684	1.45963979357468	1.39710166812905	0.913416033285306	1.92113161118517	0	0	0	0	0	1
gene671	2048	EPHB2	Name=EPHB2;description=EPH receptor B2;gbkey=Gene;gene=EPHB2;gene_biotype=protein_coding;gene_synonym=CAPB,DRT,EK5,EPHT3,ERK,Hek5,PCBC,Tyro5;chr1:22710770-22921500	4962	protein_coding	3.93413555348097	3.32230653403661	3.31429939641802	2.59183807504725	2.0932092557696	1.75698101660099	1.61295246503986	1.79301100876934	1.66852687921065	3.30341560515481	3.4721012449662	3.35049520284726	2.39605165516696	2.00759922321261	2.52823077934547	1.46832264394787	3.02197712270615	0	0	0	0	0	1
gene682	3352	HTR1D	Name=HTR1D;description=5-hydroxytryptamine receptor 1D;gbkey=Gene;gene=HTR1D;gene_biotype=protein_coding;gene_synonym=5-HT1D,HT1DA,HTR1DA,HTRL,RDC4;chr1:23191895-23194729	2835	protein_coding	2.62699353464746	2.6789469470446	3.16503912693238	1.55329802874301	1.98709603531848	1.8773541808755	0.1855284841751	1.36289559761779	1.50142953407391	0.804422524724535	0.53510186177038	0.452685617137159	1.27408056991122	1.1473831502367	0.968476009958784	0.372394965238024	0	0	0	1	0	0	0
gene724	57822	GRHL3	Name=GRHL3;description=grainyhead like transcription factor 3;gbkey=Gene;gene=GRHL3;gene_biotype=protein_coding;gene_synonym=SOM,TFCP2L4,VWS2;chr1:24319322-24364482	2869	protein_coding	2.93531119611955	2.97893360795314	2.96928563486955	2.4270146189171	1.81755320012998	1.70911616197989	4.71104360981631	5.41446370465752	5.58666319545957	4.19969995801836	4.687834861631	4.75887197751961	2.87528441004927	3.54973175066602	3.22607651651388	4.15270263091575	3.127979881061	0	0	0	0	0	-1
gene736	864	RUNX3	Name=RUNX3;description=runt related transcription factor 3;gbkey=Gene;gene=RUNX3;gene_biotype=protein_coding;gene_synonym=AML2,CBFA3,PEBP2aC;chr1:24899511-24965158	4340	protein_coding	0.146390874613923	0.587458183077526	0.329414212171827	0.128927732057579	0.353629863829176	0.271477713668453	5.34135694909006	6.21515955375069	6.07847660355181	5.28108848963266	5.68638766767817	5.58072965300649	2.03540425708273	3.20094532426197	3.78391226788791	2.08389412562431	3.77579856774516	0	0	0	0	1	1
gene768	7780	SLC30A2	Name=SLC30A2;description=solute carrier family 30 member 2;gbkey=Gene;gene=SLC30A2;gene_biotype=protein_coding;gene_synonym=PP12488,TNZD,ZnT-2,ZNT2;chr1:26038022-26046138	2499	protein_coding	0.146390874613923	0	0.89226678469548	0	0.138039863787366	0.138099432516121	2.07840588226293	3.03401675610755	2.87636515572307	3.49938790372381	4.7569588783978	4.58135458831876	0	1.74445716234301	1.32528110921759	0.913416033285306	0.389236385748939	0	0	0	1	1	0
gene771	149420	PDIK1L	Name=PDIK1L;description=PDLIM1 interacting kinase 1 like;gbkey=Gene;gene=PDIK1L;gene_biotype=protein_coding;gene_synonym=CLIK1L,STK35L2;chr1:26109131-26125548	5997	protein_coding	2.58130230736091	2.88824919349546	3.40854879397576	2.11176630535111	2.12521489620268	2.26310811946333	3.36988323574753	3.52975385393914	4.22198456544159	3.26632349545498	3.65366121409687	3.90620408922904	3.26097367854932	2.60047754025208	2.39159981267484	1.98002530023873	3.0759604132434	0	0	0	0	0	1
gene782	83442	SH3BGRL3	Name=SH3BGRL3;description=SH3 domain binding glutamate rich protein like 3;gbkey=Gene;gene=SH3BGRL3;gene_biotype=protein_coding;gene_synonym=HEL-S-297,SH3BP-1,TIP-B1;chr1:26279722-26281522	1115	protein_coding	7.21879157425548	7.40923422566586	7.33987803780202	6.82465391942299	6.86134834713858	6.92004382896971	6.86718198981595	6.88705761844827	6.80402186976225	5.99155283054006	6.41040776250059	6.34111448926712	5.78276102192198	6.94320661729034	7.60907715077996	5.96694489866254	7.72510308904559	0	0	0	0	1	1
gene788	79727	LIN28A	Name=LIN28A;description=lin-28 homolog A;gbkey=Gene;gene=LIN28A;gene_biotype=protein_coding;gene_synonym=CSDD1,LIN-28,lin-28A,LIN28,ZCCHC1;chr1:26410768-26429728	4024	protein_coding	10.739515580166	10.7140751344977	10.6926523584528	10.5669527156107	10.625193393935	10.5856769000898	9.99765957366438	9.39076429739477	9.52173661048177	8.84530588267674	8.43996071018843	8.46300903131676	7.31448079376081	6.36650677900993	5.98121008371476	7.97509533534144	6.78958320110143	0	0	0	0	0	-1
gene837	2537	IFI6	Name=IFI6;description=interferon alpha inducible protein 6;gbkey=Gene;gene=IFI6;gene_biotype=protein_coding;gene_synonym=6-16,FAM14C,G1P3,IFI-6-16,IFI616;chr1:27666061-27672229	934	protein_coding	1.07399287923254	0.700669747782326	1.43866428806467	0.368152546309086	0.384414034450491	1.04992110683918	0.544847287926992	1.21473966407567	0.874616949200949	0.83810018416758	0.53510186177038	0.452685617137159	0.30956612880013	2.57883029780892	2.67689015585245	0	2.13963320511453	0	0	0	0	1	1
gene879	10691	GMEB1	Name=GMEB1;description=glucocorticoid modulatory element binding protein 1;gbkey=Gene;gene=GMEB1;gene_biotype=protein_coding;gene_synonym=P96PIF,PIF96;chr1:28668728-28715603	2694	protein_coding	2.57309853585648	3.02465023093407	3.00501976016425	2.83918110378624	2.9692248358722	2.75789591552357	2.78366264421641	2.71899639086499	3.24803462395922	2.98301769111615	2.85416034522673	2.63662925247132	2.50173189848651	2.26814916949907	2.49495970573482	1.74674271577774	3.02197712270615	0	0	0	0	0	1
gene920	347735	SERINC2	Name=SERINC2;description=serine incorporator 2;gbkey=Gene;gene=SERINC2;gene_biotype=protein_coding;gene_synonym=FKSG84,PRO0899,TDE2,TDE2L;chr1:31409565-31434680	2810	protein_coding	2.81363436947087	3.39278447155339	3.19589214827937	2.97594063464832	2.315566389839	2.14396590935227	2.87213725369946	2.85843748830356	2.66903031823943	2.69470295531565	2.7275239180993	2.95499473408788	0.812067864750476	2.66441081830692	3.07026184176115	1.46832264394787	2.64724542433163	0	0	0	0	1	1
gene928	64129	TINAGL1	Name=TINAGL1;description=tubulointerstitial nephritis antigen like 1;gbkey=Gene;gene=TINAGL1;gene_biotype=protein_coding;gene_synonym=ARG1,LCN7,LIECG3,TINAGRP;chr1:31576384-31587686	2237	protein_coding	1.47431649317217	1.52420096280371	1.56951284090766	0.752818659113624	0.86273214475956	0.384000332313147	2.25829831505699	1.80470574767333	1.21435326200317	0.987328726676991	2.44761008360516	2.93764509726289	1.35718876254639	2.55652509408273	1.83928140845731	0.372394965238024	0.947927931238094	0	0	0	1	0	0
